id,title,description,availability,link,image link,price,identifier exists,brand,condition,item group id
INV-001,Pepsodent Advanced Salt 70g - Toothpaste 70g,Pepsodent Advanced Salt Toothpaste 70g. Helps strengthen teeth and provides advanced salt benefits.,in_stock,http://www.yourstore.com/product/pepsodent-advanced-salt-70g,http://www.yourstore.com/images/pepsodent-70g.jpg,85.00 BDT,yes,Unilever,new,BATCH-001
INV-002,Transtec LED Bright 7w Pin - LED Bulb,Transtec LED Bright 7w Pin bulb. Energy efficient lighting for home or office.,in_stock,http://www.yourstore.com/product/transtec-7w-pin,http://www.yourstore.com/images/transtec-7w.jpg,195.00 BDT,no,,new,BATCH-001
INV-003,Doodles Instant Noodles Masala 62g (24 Pack),Doodles Instant Noodles Masala flavor 62g pack of 24. Quick and tasty meal.,in_stock,http://www.yourstore.com/product/doodles-masala-24pack,http://www.yourstore.com/images/doodles-masala.jpg,90.00 BDT,yes,DIPLOMA - NEXT ASSOCIATES,new,BATCH-001
INV-004,Pepsodent Advanced Salt 140g - Toothpaste 140g,Pepsodent Advanced Salt Toothpaste 140g. Advanced salt formula for oral care.,in_stock,http://www.yourstore.com/product/pepsodent-advanced-salt-140g,http://www.yourstore.com/images/pepsodent-140g.jpg,155.00 BDT,yes,Unilever,new,BATCH-001
INV-005,Transtec LED Bright 5w Pin - LED Bulb,Transtec LED Bright 5w Pin bulb. Compact and energy saving.,in_stock,http://www.yourstore.com/product/transtec-5w-pin,http://www.yourstore.com/images/transtec-5w.jpg,150.00 BDT,no,,new,BATCH-001
INV-006,Pepsodent Germicheck 85g - Toothpaste 80g,Pepsodent Germicheck Toothpaste 85g (80g net). Germ protection for healthy teeth.,in_stock,http://www.yourstore.com/product/pepsodent-germicheck-85g,http://www.yourstore.com/images/pepsodent-germicheck.jpg,90.00 BDT,yes,Unilever,new,BATCH-001
INV-007,Radhuni Vinegar 280ml - Cooking Vinegar,Radhuni Vinegar 280ml. Perfect for salads, pickling, and cooking.,in_stock,http://www.yourstore.com/product/radhuni-vinegar-280ml,http://www.yourstore.com/images/radhuni-vinegar.jpg,45.00 BDT,no,,new,BATCH-001
INV-008,Close Up Toothpaste Sea Salt 140g - Toothpaste 140g,Close Up Toothpaste with Sea Salt 140g. Fresh breath and strong teeth.,in_stock,http://www.yourstore.com/product/closeup-seasalt-140g,http://www.yourstore.com/images/closeup-seasalt.jpg,165.00 BDT,yes,Unilever,new,BATCH-001
INV-009,Nescafe Sunrise 3in1 10g Sachet (FREE) - Instant Coffee,Nescafe Sunrise 3in1 instant coffee mix 10g sachet. Free sample.,in_stock,http://www.yourstore.com/product/nescafe-sunrise-free,http://www.yourstore.com/images/nescafe-free.jpg,15.00 BDT,yes,Nestle,new,BATCH-001
INV-010,Close Up Menthol Fresh Toothpaste 38g - Toothpaste 38g,Close Up Menthol Fresh Toothpaste 38g. Intense mint freshness.,in_stock,http://www.yourstore.com/product/closeup-menthol-38g,http://www.yourstore.com/images/closeup-menthol.jpg,47.50 BDT,yes,Unilever,new,BATCH-001
